"ENSEMBL","GENETYPE","SYMBOL","ENTREZID"
"ENSG00000237763","protein-coding","LOC124905668","124905668"
"ENSG00000237763","protein-coding","LOC128966568","128966568"
"ENSG00000237763","protein-coding","LOC128966570","128966570"
"ENSG00000174876","protein-coding","AMY1B","277"
"ENSG00000174876","protein-coding","LOC124905666","124905666"
"ENSG00000174876","protein-coding","LOC124905668","124905668"
"ENSG00000174876","protein-coding","LOC128966568","128966568"
"ENSG00000174876","protein-coding","LOC128966570","128966570"
"ENSG00000187733","protein-coding","AMY1C","278"
"ENSG00000187733","protein-coding","LOC124905666","124905666"
"ENSG00000187733","protein-coding","LOC124905668","124905668"
"ENSG00000187733","protein-coding","LOC128966568","128966568"
"ENSG00000187733","protein-coding","LOC128966570","128966570"
"ENSG00000243480","protein-coding","AMY2A","279"
"ENSG00000240038","protein-coding","AMY2B","280"
"ENSG00000227408","pseudo","AMYP1","281"
"ENSG00000214274","protein-coding","ANG","283"
"ENSG00000154188","protein-coding","ANGPT1","284"
"ENSG00000091879","protein-coding","ANGPT2","285"
"ENSG00000029534","protein-coding","ANK1","286"
"ENSG00000145362","protein-coding","ANK2","287"
"ENSG00000151150","protein-coding","ANK3","288"
"ENSG00000166825","protein-coding","ANPEP","290"
"ENSG00000151729","protein-coding","SLC25A4","291"
"ENSG00000005022","protein-coding","SLC25A5","292"
"ENSG00000169100","protein-coding","SLC25A6","293"
"ENSG00000292334","protein-coding","SLC25A6","293"
"ENSG00000135046","protein-coding","ANXA1","301"
"ENSG00000182718","protein-coding","ANXA2","302"
"ENSG00000138772","protein-coding","ANXA3","306"
"ENSG00000196975","protein-coding","ANXA4","307"
"ENSG00000164111","protein-coding","ANXA5","308"
"ENSG00000197043","protein-coding","ANXA6","309"
"ENSG00000138279","protein-coding","ANXA7","310"
"ENSG00000122359","protein-coding","ANXA11","311"
"ENSG00000104537","protein-coding","ANXA13","312"
"ENSG00000136250","protein-coding","AOAH","313"
"ENSG00000131480","protein-coding","AOC2","314"
"ENSG00000138356","protein-coding","AOX1","316"
"ENSG00000120868","protein-coding","APAF1","317"
"ENSG00000164978","protein-coding","NUDT2","318"
"ENSG00000175336","protein-coding","APOF","319"
"ENSG00000107282","protein-coding","APBA1","320"
"ENSG00000276497","protein-coding","APBA1","320"
"ENSG00000034053","protein-coding","APBA2","321"
"ENSG00000276495","protein-coding","APBA2","321"
"ENSG00000166313","protein-coding","APBB1","322"
"ENSG00000163697","protein-coding","APBB2","323"
"ENSG00000134982","protein-coding","APC","324"
"ENSG00000132703","protein-coding","APCS","325"
"ENSG00000160224","protein-coding","AIRE","326"
"ENSG00000164062","protein-coding","APEH","327"
"ENSG00000100823","protein-coding","APEX1","328"
"ENSG00000291796","protein-coding","APEX1","328"
"ENSG00000110330","protein-coding","BIRC2","329"
"ENSG00000023445","protein-coding","BIRC3","330"
"ENSG00000101966","protein-coding","XIAP","331"
"ENSG00000089685","protein-coding","BIRC5","332"
"ENSG00000105290","protein-coding","APLP1","333"
"ENSG00000084234","protein-coding","APLP2","334"
"ENSG00000118137","protein-coding","APOA1","335"
"ENSG00000158874","protein-coding","APOA2","336"
"ENSG00000110244","protein-coding","APOA4","337"
"ENSG00000084674","protein-coding","APOB","338"
"ENSG00000291544","protein-coding","APOB","338"
"ENSG00000111701","protein-coding","APOBEC1","339"
"ENSG00000130208","protein-coding","APOC1","341"
"ENSG00000291128","pseudo","APOC1P1","342"
"ENSG00000103375","protein-coding","AQP8","343"
"ENSG00000234906","protein-coding","APOC2","344"
"ENSG00000110245","protein-coding","APOC3","345"
"ENSG00000267467","protein-coding","APOC4","346"
"ENSG00000189058","protein-coding","APOD","347"
"ENSG00000130203","protein-coding","APOE","348"
"ENSG00000091583","protein-coding","APOH","350"
"ENSG00000142192","protein-coding","APP","351"
"ENSG00000198931","protein-coding","APRT","353"
"ENSG00000142515","protein-coding","KLK3","354"
"ENSG00000026103","protein-coding","FAS","355"
"ENSG00000117560","protein-coding","FASLG","356"
"ENSG00000146950","protein-coding","SHROOM2","357"
"ENSG00000240583","protein-coding","AQP1","358"
"ENSG00000167580","protein-coding","AQP2","359"
"ENSG00000165272","protein-coding","AQP3","360"
"ENSG00000171885","protein-coding","AQP4","361"
"ENSG00000161798","protein-coding","AQP5","362"
"ENSG00000086159","protein-coding","AQP6","363"
"ENSG00000165269","protein-coding","AQP7","364"
"ENSG00000103569","protein-coding","AQP9","366"
"ENSG00000169083","protein-coding","AR","367"
"ENSG00000091262","protein-coding","ABCC6","368"
"ENSG00000275331","protein-coding","ABCC6","368"
"ENSG00000078061","protein-coding","ARAF","369"
"ENSG00000095139","protein-coding","ARCN1","372"
"ENSG00000113595","protein-coding","TRIM23","373"
"ENSG00000109321","protein-coding","AREG","374"
"ENSG00000143761","protein-coding","ARF1","375"
"ENSG00000134287","protein-coding","ARF3","377"
"ENSG00000168374","protein-coding","ARF4","378"
"ENSG00000175906","protein-coding","ARL4D","379"
"ENSG00000004059","protein-coding","ARF5","381"
"ENSG00000165527","protein-coding","ARF6","382"
"ENSG00000118520","protein-coding","ARG1","383"
"ENSG00000081181","protein-coding","ARG2","384"
"ENSG00000067560","protein-coding","RHOA","387"
"ENSG00000143878","protein-coding","RHOB","388"
"ENSG00000155366","protein-coding","RHOC","389"
"ENSG00000115963","protein-coding","RND3","390"
"ENSG00000177105","protein-coding","RHOG","391"
"ENSG00000175220","protein-coding","ARHGAP1","392"
"ENSG00000089820","protein-coding","ARHGAP4","393"
"ENSG00000100852","protein-coding","ARHGAP5","394"
"ENSG00000047648","protein-coding","ARHGAP6","395"
"ENSG00000141522","protein-coding","ARHGDIA","396"
"ENSG00000111348","protein-coding","ARHGDIB","397"
"ENSG00000242173","protein-coding","ARHGDIG","398"
"ENSG00000168421","protein-coding","RHOH","399"
"ENSG00000120805","protein-coding","ARL1","400"
"ENSG00000165462","protein-coding","PHOX2A","401"
"ENSG00000213465","protein-coding","ARL2","402"
"ENSG00000138175","protein-coding","ARL3","403"
"ENSG00000143437","protein-coding","ARNT","405"
"ENSG00000133794","protein-coding","BMAL1","406"
"ENSG00000120500","protein-coding","ARR3","407"
"ENSG00000137486","protein-coding","ARRB1","408"
"ENSG00000141480","protein-coding","ARRB2","409"
"ENSG00000100299","protein-coding","ARSA","410"
"ENSG00000113273","protein-coding","ARSB","411"
"ENSG00000101846","protein-coding","STS","412"
"ENSG00000006756","protein-coding","ARSD","414"
"ENSG00000157399","protein-coding","ARSL","415"
"ENSG00000062096","protein-coding","ARSF","416"
"ENSG00000129744","protein-coding","ART1","417"
"ENSG00000156219","protein-coding","ART3","419"
"ENSG00000111339","protein-coding","ART4","420"
"ENSG00000099889","protein-coding","ARVCF","421"
"ENSG00000104763","protein-coding","ASAH1","427"
"ENSG00000139352","protein-coding","ASCL1","429"
"ENSG00000183734","protein-coding","ASCL2","430"
"ENSG00000141505","protein-coding","ASGR1","432"
"ENSG00000161944","protein-coding","ASGR2","433"
"ENSG00000101440","protein-coding","ASIP","434"
"ENSG00000126522","protein-coding","ASL","435"
"ENSG00000196433","protein-coding","ASMT","438"
"ENSG00000292336","protein-coding","ASMT","438"
"ENSG00000198356","protein-coding","GET3","439"
"ENSG00000070669","protein-coding","ASNS","440"
"ENSG00000108381","protein-coding","ASPA","443"
"ENSG00000198363","protein-coding","ASPH","444"
"ENSG00000130707","protein-coding","ASS1","445"
"ENSG00000223922","pseudo","ASS1P2","447"
"ENSG00000213487","pseudo","ASS1P4","449"
"ENSG00000227881","pseudo","ASS1P5","450"
"ENSG00000215583","pseudo","ASS1P6","451"
"ENSG00000217791","pseudo","ASS1P9","454"
"ENSG00000215325","pseudo","ASS1P10","455"
"ENSG00000257316","pseudo","ASS1P14","459"
"ENSG00000152092","protein-coding","ASTN1","460"
"ENSG00000117601","protein-coding","SERPINC1","462"
"ENSG00000140836","protein-coding","ZFHX3","463"
"ENSG00000123268","protein-coding","ATF1","466"
"ENSG00000162772","protein-coding","ATF3","467"
